59.9160,-67.4005
59.6786,-67.3941
59.6550,-67.5108
59.5414,-67.5134
59.4118,-67.5442
59.2987,-67.5016
59.0617,-67.5085
58.9391,-67.3762
58.7933,-67.3412
58.6883,-67.3443
58.5686,-67.2747
58.7230,-67.2748
58.9886,-67.3102
59.0938,-67.2447
58.9159,-67.1775
58.6887,-67.1570
58.4553,-67.1949
58.2703,-67.1480
58.0700,-67.2205
58.1465,-67.1103
58.0236,-67.1095
57.8739,-67.0606
57.7212,-67.0236
57.5935,-66.9899
57.4932,-67.0344
57.3753,-67.0300
56.9679,-67.0462
56.8674,-67.0645
56.6814,-67.0742
56.5584,-67.1098
56.4456,-67.1647
56.3396,-67.2320
56.2100,-67.3367
56.1052,-67.3744
56.1436,-67.2296
55.7322,-67.2636
55.8555,-67.1703
56.2088,-67.0829
56.3672,-67.0102
56.2567,-66.9986
56.1541,-66.9518
56.2927,-66.9295
56.4021,-66.9083
56.6012,-66.9435
56.7068,-66.8997
56.5008,-66.8615
56.3921,-66.8323
56.5423,-66.7917
56.4055,-66.8043
56.5095,-66.7438
56.3587,-66.7232
56.2264,-66.7009
56.1209,-66.6772
56.0125,-66.6609
56.1399,-66.5837
56.2472,-66.6121
56.3772,-66.6320
56.4966,-66.6857
56.6222,-66.6813
56.7437,-66.7094
56.9548,-66.7084
57.2424,-66.7189
57.2870,-66.6037
56.8078,-66.4055
56.5168,-66.3880
56.4097,-66.4283
56.2630,-66.3800
56.1454,-66.3155
56.0361,-66.2470
55.9150,-66.2091
55.7908,-66.1191
55.6116,-66.0279
55.1834,-65.9309
54.7123,-65.9037
54.2411,-65.8764
54.0134,-65.8897
53.7902,-65.8454
53.4002,-65.9020
53.2780,-65.9000
52.8477,-65.9621
52.5347,-65.9675
52.2217,-65.9729
51.7721,-66.0372
51.6138,-66.0940
51.4783,-66.1205
51.3682,-66.2043
51.2088,-66.2136
51.1035,-66.2424
50.7950,-66.2799
50.5374,-66.3039
50.4245,-66.3378
